Date,Harga Ladang
1/8/2016,1.65
8/8/2016,1.85
15/8/2016,2.1
22/8/2016,1.45
29/8/2016,1.7
5/9/2016,1.4
12/9/2016,1.4
19/9/2016,1.35
26/9/2016,1.35
3/10/2016,1.4
10/10/2016,1.45
17/10/2016,1.45
24/10/2016,1.5
31/10/2016,1.6
7/11/2016,1.65
14/11/2016,1.95
21/11/2016,
28/11/2016,2.15
5/12/2016,2.35
12/12/2016,2.3
19/12/2016,1.8
26/12/2016,1.6
2/1/2017,1.8
9/1/2017,1.8
16/1/2017,1.8
23/1/2017,1.9
30/1/2017,2.65
6/2/2017,3.05
13/2/2017,2.35
20/2/2017,1.9
27/2/2017,1.7
6/3/2017,1.85
13/3/2017,1.85
20/3/2017,1.7
27/3/2017,1.7
3/4/2017,1.85
10/4/2017,2.1
17/4/2017,2.35
24/4/2017,2.55
1/5/2017,2.65
8/5/2017,2.8
15/5/2017,2.55
22/5/2017,2.2
29/5/2017,2.1
5/6/2017,2.05
12/6/2017,2
19/6/2017,1.9
26/6/2017,2.1
3/7/2017,1.9
10/7/2017,1.9
17/7/2017,1.9
24/7/2017,1.8
31/7/2017,1.7
7/8/2017,1.65
14/8/2017,2.25
21/8/2017,2.3
28/8/2017,2.35
4/9/2017,1.8
11/9/2017,1.8
18/9/2017,1.95
25/9/2017,2
2/10/2017,2.35
9/10/2017,1.9
16/10/2017,2.25
23/10/2017,2.25
30/10/2017,2.25
6/11/2017,2.5
13/11/2017,2.6
20/11/2017,2.5
27/11/2017,3
4/12/2017,3.1
11/12/2017,3.15
18/12/2017,2.85
25/12/2017,2.65
1/1/2018,2.4
8/1/2018,2.8
15/1/2018,3.15
22/1/2018,3.5
29/1/2018,2.95
5/2/2018,3.05
12/2/2018,2.7
19/2/2018,2.05
26/2/2018,1.85
5/3/2018,1.6
12/3/2018,1.7
19/3/2018,1.8
26/3/2018,2.1
2/4/2018,2.2
9/4/2018,2.2
16/4/2018,2.2
23/4/2018,1.95
30/4/2018,2.05
7/5/2018,2.1
14/5/2018,2.15
21/5/2018,2.1
28/5/2018,2.1
4/6/2018,2.35
11/6/2018,2.15
18/6/2018,2.35
25/6/2018,1.95
2/7/2018,1.9
9/7/2018,1.9
16/7/2018,1.9
23/7/2018,1.8
30/7/2018,1.8
6/8/2018,1.9
13/8/2018,2.2
20/8/2018,1.75
27/8/2018,1.7
3/9/2018,1.75
10/9/2018,1.8
17/9/2018,1.8
24/9/2018,1.9
1/10/2018,2.2
8/10/2018,2.1
15/10/2018,2
22/10/2018,2.05
29/10/2018,2.45
5/11/2018,2.2
12/11/2018,2.15
19/11/2018,2.1
26/11/2018,2
3/12/2018,1.9
10/12/2018,1.9
17/12/2018,2.25
24/12/2018,2.3
31/12/2018,2.2
7/1/2019,2
14/1/2019,1.8
21/1/2019,1.7
28/1/2019,1.65
4/2/2019,1.9
11/2/2019,1.8
18/2/2019,1.8
25/2/2019,1.9
4/3/2019,1.9
11/3/2019,1.9
18/3/2019,1.95
25/3/2019,1.95
1/4/2019,1.85
8/4/2019,1.85
15/4/2019,2
22/4/2019,2.1
29/4/2019,
6/5/2019,
13/5/2019,
20/5/2019,
27/5/2019,
3/6/2019,
10/6/2019,
17/6/2019,
24/6/2019,1.35
1/7/2019,2.05
8/7/2019,1.9
15/7/2019,1.95
22/7/2019,1.9
29/7/2019,1.85
5/8/2019,1.8
12/8/2019,1.8
19/8/2019,1.65
26/8/2019,1.65
2/9/2019,
9/9/2019,1.75
16/9/2019,1.65
23/9/2019,1.8
30/9/2019,1.8
7/10/2019,1.95
14/10/2019,2.1
21/10/2019,2.15
28/10/2019,2.15
4/11/2019,2.2
18/11/2019,
25/11/2019,
2/12/2019,2
9/12/2019,2.15
16/12/2019,2.2
23/12/2019,2.35
30/12/2019,2.4
6/1/2020,2.2
13/1/2020,1.9
20/1/2020,1.7
27/1/2020,1.85
3/2/2020,1.95
10/2/2020,2.1
17/2/2020,2.05
24/2/2020,2.05
